queue_label,record_id,rule_id,reviewed_artifact_issue,reviewed_effect_audible,duration_drift_ms,logmel_dtw_l1,mfcc_dtw_cosine,voiced_overlap_iou,f0_overlap_mae_cents,f0_overlap_corr,harmonic_share_src,harmonic_share_proc,harmonic_share_delta,mean_log_flatness_src,mean_log_flatness_proc,mean_log_flatness_delta,zcr_src,zcr_proc,zcr_delta,structure_risk_score
stage0_atrr_vocoder_bigvgan_fixed8/blend075_pc150_cap200_v1,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,yes,yes,-0.1667,2.2498,0.0199,0.4725,385.1852,0.6018,0.1434,0.1778,0.0344,-2.9965,-4.3040,-1.3076,0.0697,0.0662,-0.0035,65.18
stage0_atrr_vocoder_bigvgan_fixed8/blend075_pc150_cap200_v1,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,yes,yes,2.3750,1.8039,0.0165,0.3827,268.6792,0.7058,0.2088,0.3098,0.1011,-2.8411,-3.6754,-0.8342,0.0763,0.0660,-0.0104,66.65
stage0_atrr_vocoder_bigvgan_fixed8/blend075_pc150_cap200_v1,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,yes,yes,-2.9583,1.5199,0.0069,0.8141,100.5023,0.9578,0.4001,0.3450,-0.0551,-3.1641,-4.1137,-0.9495,0.0780,0.0638,-0.0142,44.47
stage0_atrr_vocoder_bigvgan_fixed8/blend075_pc150_cap200_v1,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,yes,no,-4.4583,2.0456,0.0107,0.4599,433.3721,0.5008,0.4770,0.6077,0.1307,-3.2988,-4.2333,-0.9345,0.0415,0.0394,-0.0021,64.57
stage0_atrr_vocoder_bigvgan_fixed8/blend075_pc150_cap200_v1,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,yes,yes,-0.4167,1.4517,0.0090,0.4382,260.9402,0.1538,0.4904,0.2956,-0.1948,-3.0667,-3.9377,-0.8709,0.0850,0.0735,-0.0115,64.95
stage0_atrr_vocoder_bigvgan_fixed8/blend075_pc150_cap200_v1,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,yes,no,0.7083,1.4837,0.0078,0.6321,316.1973,0.5292,0.5203,0.3814,-0.1389,-2.8490,-3.9052,-1.0562,0.0730,0.0590,-0.0139,59.98
stage0_speech_lsf_machine_sweep_v9_fixed8/split_core_focus_v9a,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5498,0.0033,0.9286,11.8956,0.9936,0.7110,0.6878,-0.0232,-3.2808,-3.3710,-0.0902,0.0574,0.0512,-0.0062,16.94
stage0_speech_lsf_machine_sweep_v9_fixed8/split_core_focus_v9a,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5750,0.0032,0.9578,8.0460,0.9983,0.6285,0.6075,-0.0210,-3.3139,-3.4370,-0.1231,0.0828,0.0751,-0.0077,16.49
stage0_speech_lsf_machine_sweep_v9_fixed8/split_core_focus_v9a,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.2838,0.0006,0.9395,6.5266,0.9989,0.1434,0.1366,-0.0068,-2.9965,-2.8621,0.1344,0.0697,0.0757,0.0060,15.39
stage0_speech_lsf_machine_sweep_v9_fixed8/split_core_focus_v9a,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.2715,0.0005,0.9398,7.1600,0.9986,0.2088,0.1901,-0.0187,-2.8411,-2.7319,0.1092,0.0763,0.0837,0.0074,14.28
stage0_speech_lsf_machine_sweep_v9_fixed8/split_core_focus_v9a,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,0.0000,0.2674,0.0007,0.9275,4.2387,0.9998,0.4001,0.4152,0.0151,-3.1641,-3.2740,-0.1099,0.0780,0.0739,-0.0041,8.95
stage0_speech_lsf_machine_sweep_v9_fixed8/split_core_focus_v9a,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.3097,0.0009,0.9348,3.8760,0.9999,0.4770,0.4910,0.0139,-3.2988,-3.4279,-0.1291,0.0415,0.0366,-0.0050,9.81
stage0_speech_lsf_machine_sweep_v9_fixed8/split_core_focus_v9a,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.1472,0.0002,0.9620,4.0711,0.9991,0.4904,0.4579,-0.0325,-3.0667,-3.0164,0.0503,0.0850,0.0882,0.0032,7.44
stage0_speech_lsf_machine_sweep_v9_fixed8/split_core_focus_v9a,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,0.0000,0.2009,0.0003,0.9724,4.8969,0.9993,0.5203,0.4524,-0.0680,-2.8490,-2.7742,0.0748,0.0730,0.0766,0.0037,9.64
