summary_label,record_id,rule_id,carrier_target_shift_score,target_log_mel_mae,source_probe_logmel_dtw_l1,source_probe_voiced_overlap_iou,source_probe_f0_overlap_mae_cents,source_probe_structure_risk_score,target_probe_logmel_dtw_l1,target_probe_voiced_overlap_iou,target_probe_f0_overlap_mae_cents,target_probe_structure_risk_score,edit_added_structure_risk
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_full8,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,41.00,0.318879,0.5373,0.6548,20.7273,24.28,0.5373,0.6548,20.7273,24.28,0.00
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_full8,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,32.15,0.382497,0.5524,0.7774,23.3333,21.70,0.6009,0.7770,57.6077,26.06,4.36
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_full8,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,56.65,0.317543,0.4780,0.9005,24.1818,16.84,0.5812,0.7558,78.2427,27.98,11.14
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_full8,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,25.80,0.365644,0.5286,0.7926,23.8397,20.78,0.5681,0.7246,29.7500,24.06,3.27
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_020_full8,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,48.21,0.464221,0.5940,0.8637,42.5352,22.51,0.7101,0.8197,129.3842,34.51,12.01
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_020_full8,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,52.39,0.441305,0.5593,0.9176,34.9609,19.52,0.6748,0.8642,84.1020,28.28,8.76
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_020_full8,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,43.79,0.402316,0.5493,0.9126,39.9155,19.97,0.5939,0.7969,68.9355,26.56,6.58
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_020_full8,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,38.16,0.893445,0.5652,0.7973,43.4746,23.46,1.5756,0.5799,172.9940,57.69,34.23
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_020_full8,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,41.00,0.318879,0.5373,0.6548,20.7273,24.28,0.5373,0.6548,20.7273,24.28,0.00
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_020_full8,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,32.15,0.382497,0.5524,0.7774,23.3333,21.70,0.6009,0.7770,57.6077,26.06,4.36
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_020_full8,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,56.65,0.317543,0.4780,0.9005,24.1818,16.84,0.5812,0.7558,78.2427,27.98,11.14
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_020_full8,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,25.80,0.365644,0.5286,0.7926,23.8397,20.78,0.5681,0.7246,29.7500,24.06,3.27
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_025_full8,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,48.21,0.464221,0.5940,0.8637,42.5352,22.51,0.7101,0.8197,129.3842,34.51,12.01
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_025_full8,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,52.39,0.441305,0.5593,0.9176,34.9609,19.52,0.6748,0.8642,84.1020,28.28,8.76
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_025_full8,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,43.79,0.402316,0.5493,0.9126,39.9155,19.97,0.5939,0.7969,68.9355,26.56,6.58
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_025_full8,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,43.31,0.864774,0.5652,0.7973,43.4746,23.46,1.4842,0.5667,154.8824,56.33,32.87
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_025_full8,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,41.00,0.318879,0.5373,0.6548,20.7273,24.28,0.5373,0.6548,20.7273,24.28,0.00
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_025_full8,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,32.15,0.382497,0.5524,0.7774,23.3333,21.70,0.6009,0.7770,57.6077,26.06,4.36
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_025_full8,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,56.65,0.317543,0.4780,0.9005,24.1818,16.84,0.5812,0.7558,78.2427,27.98,11.14
v1_fixed8_v9a_bigvgan_11025_hybrid_rowveto_p230_rowoverride_2086_025_full8,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,25.80,0.365644,0.5286,0.7926,23.8397,20.78,0.5681,0.7246,29.7500,24.06,3.27
